nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones,titulo,canal,fecha_publicacion,vistas
SI NO ES CONTIGO,Cris Mj,28,2024-07-10,2024-05-23,88.0,,,,
HOLA PERDIDA REMIX,Luck Ra,29,2024-07-10,2024-05-31,78.0,,,,
30 Grados,El Turko,30,2024-07-10,2024-01-25,61.0,,,,
HOLA PERDIDA,Luck Ra,31,2024-07-10,2024-02-02,71.0,,,,
SINVERGÜENZA - con Angela Torres,Emanero,32,2024-07-10,2023-12-05,72.0,,,,
Por Mil Noches,Airbag,33,2024-07-10,2013-11-27,72.0,,,,
CEO,Mesita,34,2024-07-10,2024-06-18,71.0,,,,
offline,Young Miko,35,2024-07-10,2024-04-05,85.0,,,,
La_Original.mp3,Emilia,36,2024-07-10,2023-11-03,76.0,,,,
UH LA LA LA,DobleP,37,2024-07-10,2024-03-21,71.0,,,,
M.A.I,Milo j,38,2024-07-10,2023-11-30,79.0,,,,
Una Foto Remix (feat. Emilia),Mesita,39,2024-07-10,2024-01-05,80.0,,,,
Cierre Rkt,Eze Remix,40,2024-07-10,2024-03-20,69.0,,,,
BBY BOO - REMIX,iZaak,41,2024-07-10,2024-03-27,83.0,,,,
WYA REMIX RED,J Abdiel,42,2024-07-10,2024-05-10,80.0,,,,
La Morocha,Luck Ra,43,2024-07-10,2024-02-02,69.0,,,,
SORRY 4 THAT MUCH,Feid,44,2024-07-10,2024-06-07,87.0,,,,
Es un Secreto,Plan B,45,2024-07-10,2010-07-20,84.0,,,,
De Vuelta,Tiago PZK,46,2024-07-10,2024-07-04,66.0,,,,
Un Finde | CROSSOVER #2,Big One,47,2024-07-10,2023-04-04,75.0,,,,
Ya No Vuelvas (Versión Cuarteto),Luck Ra,48,2024-07-10,2024-02-02,67.0,,,,
Una Foto,Mesita,49,2024-07-10,2023-08-15,71.0,,,,
La Bachata,Manuel Turizo,50,2024-07-10,2023-03-17,85.0,,,,
BIRDS OF A FEATHER,Billie Eilish,1,2024-07-10,2024-05-17,98.0,,,,
Please Please Please,Sabrina Carpenter,2,2024-07-10,2024-06-06,98.0,,,,
Espresso,Sabrina Carpenter,3,2024-07-10,2024-04-12,99.0,,,,
A Bar Song (Tipsy),Shaboozey,4,2024-07-10,2024-05-31,86.0,,,,
MILLION DOLLAR BABY,Tommy Richman,5,2024-07-10,2024-04-26,94.0,,,,
I Had Some Help (Feat. Morgan Wallen),Post Malone,6,2024-07-10,2024-05-10,95.0,,,,
Not Like Us,Kendrick Lamar,7,2024-07-10,2024-05-04,96.0,,,,
"Good Luck, Babe!",Chappell Roan,8,2024-07-10,2024-04-05,94.0,,,,
Beautiful Things,Benson Boone,9,2024-07-10,2024-04-05,90.0,,,,
Too Sweet,Hozier,10,2024-07-10,2024-03-22,89.0,,,,
Houdini,Eminem,11,2024-07-10,2024-05-31,94.0,,,,
Austin (Boots Stop Workin'),Dasha,12,2024-07-10,2024-02-16,91.0,,,,
Stargazing,Myles Smith,13,2024-07-10,2024-05-10,92.0,,,,
Lose Control,Teddy Swims,14,2024-07-10,2023-09-15,90.0,,,,
Stick Season,Noah Kahan,15,2024-07-10,2022-10-14,90.0,,,,
Fortnight (feat. Post Malone),Taylor Swift,16,2024-07-10,2024-04-18,91.0,,,,
LUNCH,Billie Eilish,17,2024-07-10,2024-05-17,95.0,,,,
Pink Skies,Zach Bryan,18,2024-07-10,2024-05-24,89.0,,,,
DEVIL IS A LIE,Tommy Richman,19,2024-07-10,2024-06-14,86.0,,,,
GIRLS,The Kid LAROI,20,2024-07-10,2024-06-28,81.0,,,,
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,21,2024-07-10,2023-08-25,88.0,,,,
Scared To Start,Michael Marcagi,22,2024-07-10,2024-01-12,88.0,,,,
i like the way you kiss me,Artemas,23,2024-07-10,2024-03-19,95.0,,,,
BAND4BAND (feat. Lil Baby),Central Cee,24,2024-07-10,2024-05-23,91.0,,,,
Belong Together,Mark Ambor,25,2024-07-10,2024-02-16,91.0,,,,
Slow It Down,Benson Boone,26,2024-07-10,2024-04-05,89.0,,,,
Cruel Summer,Taylor Swift,27,2024-07-10,2019-08-23,92.0,,,,
Something in the Orange,Zach Bryan,28,2024-07-10,2022-04-22,86.0,,,,
End of Beginning,Djo,29,2024-07-10,2022-09-16,93.0,,,,
NIGHTS LIKE THIS,The Kid LAROI,30,2024-07-10,2023-11-10,84.0,,,,
Riptide,Vance Joy,31,2024-07-10,2014-09-08,84.0,,,,
we can't be friends (wait for your love),Ariana Grande,32,2024-07-10,2024-03-08,90.0,,,,
Last Night,Morgan Wallen,33,2024-07-10,2023-03-03,83.0,,,,
Stumblin' In,CYRIL,34,2024-07-10,2023-11-10,88.0,,,,
The Night We Met,Lord Huron,35,2024-07-10,2015-04-06,88.0,,,,
misses,Dominic Fike,36,2024-07-10,2024-05-03,83.0,,,,
I Can Do It With a Broken Heart,Taylor Swift,37,2024-07-10,2024-04-18,87.0,,,,
